step 0, idx 32, training accuracy 0.0625, cross entropy is 2.3899(0.000 sec/batch=32 images) 
step 100, idx 3232, training accuracy 0.15625, cross entropy is 2.2889(0.016 sec/batch=32 images) 
step 200, idx 6432, training accuracy 0.15625, cross entropy is 2.12895(0.016 sec/batch=32 images) 
step 300, idx 9632, training accuracy 0.15625, cross entropy is 2.22464(0.016 sec/batch=32 images) 
step 400, idx 12832, training accuracy 0.1875, cross entropy is 2.21212(0.016 sec/batch=32 images) 
step 500, idx 16032, training accuracy 0.4375, cross entropy is 1.91695(0.016 sec/batch=32 images) 
step 600, idx 19232, training accuracy 0.21875, cross entropy is 2.10728(0.016 sec/batch=32 images) 
step 700, idx 22432, training accuracy 0.25, cross entropy is 2.07173(0.016 sec/batch=32 images) 
step 800, idx 25632, training accuracy 0.46875, cross entropy is 1.94265(0.016 sec/batch=32 images) 
step 900, idx 28832, training accuracy 0.34375, cross entropy is 1.80754(0.016 sec/batch=32 images) 
step 1000, idx 32032, training accuracy 0.28125, cross entropy is 2.05792(0.016 sec/batch=32 images) 
step 1100, idx 35232, training accuracy 0.28125, cross entropy is 1.92769(0.017 sec/batch=32 images) 
step 1200, idx 38432, training accuracy 0.34375, cross entropy is 1.90834(0.016 sec/batch=32 images) 
step 1300, idx 41632, training accuracy 0.40625, cross entropy is 1.6536(0.016 sec/batch=32 images) 
step 1400, idx 44832, training accuracy 0.375, cross entropy is 1.76627(0.016 sec/batch=32 images) 
step 1500, idx 48032, training accuracy 0.3125, cross entropy is 1.88583(0.016 sec/batch=32 images) 
step 1600, idx 1216, training accuracy 0.40625, cross entropy is 1.74313(0.016 sec/batch=32 images) 
step 1700, idx 4416, training accuracy 0.5, cross entropy is 1.53542(0.016 sec/batch=32 images) 
step 1800, idx 7616, training accuracy 0.53125, cross entropy is 1.34624(0.016 sec/batch=32 images) 
step 1900, idx 10816, training accuracy 0.375, cross entropy is 1.5584(0.016 sec/batch=32 images) 
step 2000, idx 14016, training accuracy 0.375, cross entropy is 1.73661(0.016 sec/batch=32 images) 
step 2100, idx 17216, training accuracy 0.53125, cross entropy is 1.49313(0.016 sec/batch=32 images) 
step 2200, idx 20416, training accuracy 0.5, cross entropy is 1.57314(0.016 sec/batch=32 images) 
step 2300, idx 23616, training accuracy 0.4375, cross entropy is 1.73192(0.016 sec/batch=32 images) 
step 2400, idx 26816, training accuracy 0.46875, cross entropy is 1.55988(0.017 sec/batch=32 images) 
step 2500, idx 30016, training accuracy 0.5, cross entropy is 1.50289(0.016 sec/batch=32 images) 
step 2600, idx 33216, training accuracy 0.375, cross entropy is 1.74669(0.016 sec/batch=32 images) 
step 2700, idx 36416, training accuracy 0.59375, cross entropy is 1.24568(0.016 sec/batch=32 images) 
step 2800, idx 39616, training accuracy 0.4375, cross entropy is 1.65926(0.017 sec/batch=32 images) 
step 2900, idx 42816, training accuracy 0.53125, cross entropy is 1.37698(0.016 sec/batch=32 images) 
step 3000, idx 46016, training accuracy 0.59375, cross entropy is 1.37122(0.016 sec/batch=32 images) 
step 3100, idx 49216, training accuracy 0.5, cross entropy is 1.45019(0.017 sec/batch=32 images) 
step 3200, idx 2400, training accuracy 0.59375, cross entropy is 1.37151(0.016 sec/batch=32 images) 
step 3300, idx 5600, training accuracy 0.53125, cross entropy is 1.41823(0.016 sec/batch=32 images) 
step 3400, idx 8800, training accuracy 0.5, cross entropy is 1.41361(0.016 sec/batch=32 images) 
step 3500, idx 12000, training accuracy 0.5625, cross entropy is 1.55697(0.016 sec/batch=32 images) 
